Bulk mode; whois.cymru.com [2014-06-11 20:19:11 +0000]
4134    | 117.21.226.25    | 117.21.0.0/16       | CN | apnic    | 2007-06-15 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 117.41.182.201   | 117.40.0.0/14       | CN | apnic    | 2007-06-15 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 117.41.184.89    | 117.40.0.0/14       | CN | apnic    | 2007-06-15 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4808    | 117.79.91.231    | 117.79.88.0/21      | CN | apnic    | 2007-07-06 | CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network,CN
23724   | 117.79.91.231    | 117.79.88.0/21      | CN | apnic    | 2007-07-06 | CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation,CN
4808    | 117.79.91.244    | 117.79.88.0/21      | CN | apnic    | 2007-07-06 | CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network,CN
23724   | 117.79.91.244    | 117.79.88.0/21      | CN | apnic    | 2007-07-06 | CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation,CN
24444   | 117.132.9.229    | 117.132.0.0/18      | CN | apnic    | 2007-07-17 | CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited,CN
9829    | 117.239.216.6    | 117.239.208.0/20    | IN | apnic    | 2007-08-01 | BSNL-NIB National Internet Backbone,IN
4808    | 118.244.0.12     | 118.244.0.0/18      | CN | apnic    | 2007-11-06 | CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network,CN
4847    | 118.244.0.12     | 118.244.0.0/18      | CN | apnic    | 2007-11-06 | CNIX-AP China Networks Inter-Exchange,CN
4847    | 119.10.116.156   | 119.10.112.0/21     | CN | apnic    | 2007-11-26 | CNIX-AP China Networks Inter-Exchange,CN
4808    | 122.49.0.220     | 122.49.0.0/19       | CN | apnic    | 2006-09-08 | CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network,CN
17672   | 122.49.0.220     | 122.49.0.0/19       | CN | apnic    | 2006-09-08 | CHINATELECOM-HE-AS-AP asn for Hebei Provincial Net of CT,CN
4780    | 123.0.240.240    | 123.0.240.0/22      | TW | apnic    | 2006-11-06 | SEEDNET Digital United Inc.,TW
7643    | 123.30.182.178   | 123.30.128.0/18     | VN | apnic    | 2007-01-11 | VNPT-AS-VN Vietnam Posts and Telecommunications (VNPT),VN
7643    | 123.30.240.156   | 123.30.240.0/23     | VN | apnic    | 2007-01-11 | VNPT-AS-VN Vietnam Posts and Telecommunications (VNPT),VN
4134    | 125.65.165.235   | 125.64.0.0/13       | CN | apnic    | 2005-08-22 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
38283   | 125.65.245.146   | 125.65.245.0/24     | CN | apnic    | 2005-08-22 | CHINANET-SCIDC-AS-AP CHINANET SiChuan Telecom Internet Data Center,CN
24139   | 125.210.3.3      | 125.210.0.0/19      | CN | apnic    | 2005-09-29 | CNNIC-WASU-AP WASU TV & Communication Holding Co.,Ltd.,CN
133165  | 128.199.235.176  | 128.199.192.0/18    | GB | ripencc  |            | DIGITALOCEAN-AS-AP Digital Ocean, Inc.,SG
8075    | 137.135.46.167   | 137.135.0.0/16      | US | arin     | 2011-06-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation,US
8075    | 138.91.184.123   | 138.91.0.0/16       | US | arin     | 2011-06-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation,US
17713   | 140.117.71.134   | 140.117.0.0/16      | TW | apnic    |            | NSYSU-TW National Sun Yat-sen University,TW
1659    | 140.119.164.103  | 140.112.0.0/12      | TW | apnic    |            | ERX-TANET-ASN1 Tiawan Academic Network (TANet) Information Center,TW
1659    | 140.123.21.192   | 140.112.0.0/12      | TW | apnic    |            | ERX-TANET-ASN1 Tiawan Academic Network (TANet) Information Center,TW
17621   | 140.206.155.125  | 140.206.128.0/19    | CN | apnic    | 2011-03-09 | CNCGROUP-SH China Unicom Shanghai network,CN
36375   | 141.212.108.13   | 141.212.0.0/16      | US | arin     |            | UMICH-AS-5 - University of Michigan,US
16276   | 142.4.201.210    | 142.4.192.0/19      | CA | arin     | 2012-07-23 | OVH OVH SAS,FR
24940   | 144.76.108.137   | 144.76.0.0/16       | DE | ripencc  |            | HETZNER-AS Hetzner Online AG,DE
